,year,EXPORT_GOODS_bln_usd,IMPORT_GOODS_bln_usd
1999-12-31,1999,75.6,39.5
2000-12-31,2000,105.0,44.9
2001-12-31,2001,101.9,53.8
2002-12-31,2002,107.3,61.0
2003-12-31,2003,135.9,76.1
2004-12-31,2004,183.2,97.4
2005-12-31,2005,240.0,123.8
2006-12-31,2006,297.5,163.2
2007-12-31,2007,346.5,223.1
2008-12-31,2008,466.3,288.7
2009-12-31,2009,297.2,183.9
2010-12-31,2010,392.7,245.7
2011-12-31,2011,515.4,318.6
2012-12-31,2012,527.4,335.8
2013-12-31,2013,521.8,341.3
2014-12-31,2014,496.8,307.9
2015-12-31,2015,341.4,193.0
2016-12-31,2016,281.9,191.6
2017-12-31,2017,353.1,237.8
